"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.057(0.008)","0.065(0.005)",0.271,"0.057(0.002)","0.057(0.002)",0.498,"0.052(0.003)","0.049(0.002)",1.134,"0.047(0.002)","0.045(0.002)",4.03
"GLGP","0.01(0.001)","0.042(0.006)",71.805,"0.015(0)","0.03(0.002)",73.043,"0.018(0.001)","0.025(0.001)",73.198,"0.02(0)","0.022(0.001)",79.156
"Nystrom","0.009(0.001)","0.042(0.005)",8.309,"0.013(0.001)","0.028(0.002)",9.724,"0.015(0.001)","0.021(0.001)",11.604,"0.018(0.001)","0.019(0.001)",16.839
"LKFLGP","0.009(0.001)","0.143(0.064)",0.875,"0.017(0.001)","0.036(0.002)",0.922,"0.021(0.001)","0.026(0.001)",1.167,"0.023(0.001)","0.024(0.001)",1.71
