"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.064(0.006)","0.067(0.004)",0.239,"0.057(0.003)","0.057(0.003)",0.511,"0.056(0.003)","0.054(0.003)",1.593,"0.051(0.002)","0.049(0.002)",4.284
"GLGP","0.012(0.001)","0.042(0.004)",69.871,"0.017(0.001)","0.031(0.001)",71.517,"0.019(0.001)","0.026(0.001)",73.864,"0.022(0.001)","0.024(0.001)",80.945
"Nystrom","0.01(0.001)","0.042(0.002)",8.238,"0.015(0.001)","0.029(0.002)",9.829,"0.017(0.001)","0.023(0)",12.234,"0.019(0.001)","0.021(0.001)",17.332
"LKFLGP","0.01(0.001)","0.116(0.036)",0.837,"0.017(0.001)","0.035(0.002)",0.881,"0.02(0.001)","0.026(0)",1.328,"0.022(0.001)","0.023(0.001)",1.914
