"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.057(0.007)","0.059(0.003)",0.242,"0.053(0.004)","0.053(0.003)",0.453,"0.052(0.002)","0.048(0.002)",1.168,"0.05(0.001)","0.045(0.001)",4.143
"GLGP","0.012(0.001)","0.048(0.005)",68.431,"0.017(0.001)","0.035(0.002)",70.226,"0.021(0.001)","0.028(0.001)",72.601,"0.023(0.001)","0.026(0.001)",78.241
"Nystrom","0.01(0.001)","0.05(0.007)",7.98,"0.015(0.001)","0.032(0.002)",9.43,"0.019(0.001)","0.025(0.001)",11.784,"0.021(0.001)","0.023(0.001)",17.125
"LKFLGP","0.01(0.002)","0.137(0.029)",0.793,"0.018(0.002)","0.037(0.003)",0.91,"0.022(0.001)","0.027(0.001)",1.15,"0.023(0.001)","0.024(0.001)",1.773
