"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.035(0.002)","0.038(0.002)",0.265,"0.033(0.002)","0.034(0.002)",0.471,"0.033(0.001)","0.031(0.001)",1.149,"0.03(0.001)","0.028(0.001)",4.071
"GLGP","0.007(0.001)","0.025(0.003)",71.327,"0.009(0)","0.019(0.001)",72.411,"0.011(0)","0.015(0)",74.69,"0.012(0)","0.014(0)",78.075
"Nystrom","0.006(0.001)","0.027(0.002)",8.224,"0.008(0.001)","0.019(0.001)",9.251,"0.011(0)","0.014(0)",11.728,"0.012(0)","0.013(0)",15.521
"LKFLGP","0.006(0.001)","0.095(0.031)",0.865,"0.011(0.001)","0.025(0.003)",1.131,"0.014(0.001)","0.017(0.001)",1.396,"0.015(0.001)","0.016(0)",2.1
