"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.028(0.004)","0.031(0.002)",0.446,"0.027(0.003)","0.027(0.001)",0.564,"0.025(0.001)","0.025(0.001)",1.126,"0.024(0)","0.023(0.001)",4.001
"GLGP","0.007(0)","0.019(0.001)",73.216,"0.008(0)","0.014(0)",71.46,"0.01(0)","0.013(0)",72.597,"0.011(0)","0.012(0)",76.596
"Nystrom","0.006(0)","0.02(0.001)",8.607,"0.007(0)","0.014(0.001)",8.996,"0.008(0)","0.012(0.001)",11.165,"0.009(0)","0.01(0)",15.276
"LKFLGP","0.005(0.001)","0.088(0.029)",0.872,"0.008(0)","0.019(0.002)",0.99,"0.01(0)","0.013(0)",1.378,"0.011(0)","0.012(0)",2.091
