"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.028(0.002)","0.031(0.002)",0.247,"0.027(0.002)","0.027(0.001)",0.456,"0.025(0.001)","0.025(0.001)",1.137,"0.024(0.001)","0.022(0.001)",4.03
"GLGP","0.006(0)","0.021(0.002)",70.292,"0.008(0)","0.014(0.001)",71.34,"0.009(0)","0.012(0)",72.563,"0.01(0)","0.011(0)",76.35
"Nystrom","0.006(0)","0.022(0.002)",8.261,"0.007(0)","0.015(0)",9.414,"0.008(0)","0.012(0)",11.213,"0.009(0)","0.01(0)",15.818
"LKFLGP","0.006(0.001)","0.078(0.018)",0.869,"0.009(0.001)","0.021(0.003)",1.044,"0.011(0)","0.014(0)",1.404,"0.012(0.001)","0.013(0)",2.176
