"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.049(0.003)","0.051(0.003)",0.241,"0.046(0.003)","0.046(0.001)",0.527,"0.043(0.002)","0.041(0.001)",1.136,"0.04(0.002)","0.037(0.001)",4.106
"GLGP","0.01(0.001)","0.035(0.002)",68.348,"0.013(0.001)","0.026(0.001)",70.194,"0.016(0.001)","0.021(0.001)",75.53,"0.018(0)","0.019(0)",80.438
"Nystrom","0.008(0.001)","0.039(0.003)",7.677,"0.012(0.001)","0.027(0.002)",9.061,"0.015(0.001)","0.021(0.001)",11.623,"0.017(0)","0.019(0)",16.848
"LKFLGP","0.009(0.002)","0.102(0.017)",0.815,"0.015(0.002)","0.032(0.004)",1.108,"0.019(0.001)","0.022(0.001)",1.367,"0.02(0.001)","0.02(0)",1.701
