"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.03(0.003)","0.032(0.002)",0.263,"0.028(0.002)","0.029(0.002)",0.502,"0.026(0.001)","0.026(0.001)",1.13,"0.024(0.001)","0.023(0.001)",3.983
"GLGP","0.006(0.001)","0.02(0.003)",68.153,"0.008(0)","0.014(0)",68.26,"0.009(0)","0.012(0)",70.225,"0.009(0)","0.011(0)",74.025
"Nystrom","0.005(0)","0.02(0.002)",7.973,"0.007(0)","0.014(0)",8.887,"0.008(0)","0.011(0)",10.932,"0.009(0)","0.01(0)",15.094
"LKFLGP","0.005(0)","0.06(0.011)",0.778,"0.009(0.001)","0.019(0.002)",0.961,"0.011(0.001)","0.013(0)",1.364,"0.012(0.001)","0.012(0)",2.069
