"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0583(0.008)","0.0752(0.0028)",0.1224,"0.0611(0.0064)","0.0687(0.0017)",0.2965,"0.0608(0.0034)","0.0654(0.002)",0.5702,"0.058(0.0037)","0.0622(0.0016)",1.4301
"LKFLAG","0.0031(0.0014)","1.9058(1.012)",0.8049,"0.0295(0.0036)","0.1084(0.019)",1.2352,"0.0396(0.0028)","0.062(0.0021)",3.3105,"0.0437(0.0029)","0.054(0.0014)",14.3767
