"","error rates","time","error rates","time"
"RBF GP","0.5339(0.0659)",9.4684,"0.4157(0.0464)",12.39
"RBF KSVM","0.6218(0.0423)",6.4381,"0.3943(0.0523)",8.966
"sparseGLGP","0.142(0.0217)",427.3429,"0.0993(0.0116)",454.5299
"Nystrom extension","0.2288(0.0335)",156.3312,"0.1503(0.0148)",162.5642
"SRFLAG","0.1831(0.0243)",14.9019,"0.1412(0.0117)",19.1113
"SKFLAG","0.0975(0.0238)",30.1969,"0.0721(0.0091)",34.1981
"LRFLAG","0.2094(0.0349)",5.6687,"0.1609(0.0104)",7.3431
"LKFLAG","0.1064(0.0168)",21.0338,"0.077(0.0062)",22.5789
