"","error rates","time","error rates","time"
"RBF GP","0.5586(0.0599)",1.0014,"0.4092(0.0313)",1.3336
"RBF KSVM","0.6461(0.0529)",0.6281,"0.3856(0.0431)",0.9121
"sparseGLGP","0.2041(0.0274)",15.3733,"0.1573(0.0142)",19.4981
"Nystrom extension","0.2947(0.0372)",16.8228,"0.2214(0.0122)",20.5489
"SRFLAG","0.1879(0.0204)",6.9159,"0.1454(0.0127)",10.7972
"SKFLAG","0.1293(0.0173)",11.1518,"0.1058(0.0075)",15.9869
"LRFLAG","0.205(0.0248)",1.1682,"0.1695(0.0189)",2.1846
"LKFLAG","0.1399(0.0192)",1.8816,"0.1046(0.0092)",2.9584
