"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0565(0.0104)","0.075(0.0026)",0.1408,"0.0587(0.0044)","0.0695(0.0021)",0.3201,"0.0592(0.0048)","0.066(0.0021)",0.5828,"0.06(0.0026)","0.0628(0.0016)",1.5194
"LKFLAG","0.0016(0.0011)","6.3252(3.7608)",1.456,"0.0287(0.0032)","0.1181(0.0271)",1.751,"0.0383(0.0031)","0.0653(0.0046)",3.8915,"0.0446(0.0023)","0.0541(0.0017)",15.2217
