"","error rates","time","error rates","time"
"RBF GP","0.4615(0.0218)",0.4961,"0.4419(0.0224)",0.6198
"RBF KSVM","0.4662(0.0227)",0.0391,"0.4451(0.0233)",0.0705
"GLGP","0.4884(0.0443)",64.3487,"0.1761(0.0317)",65.0827
"sparseGLGP","0.1222(0.0473)",12.0316,"0.0514(0.0194)",12.863
"Nystrom extension","0.4375(0.0912)",8.624,"0.1688(0.0313)",8.8628
"SRFLAG","0.1584(0.0419)",6.6475,"0.1143(0.0305)",6.6947
"SKFLAG","0(0)",8.5044,"0(0)",8.7513
"LRFLAG","0.2876(0.0491)",0.5612,"0.2002(0.0386)",0.6081
"LKFLAG","0.0094(0.0185)",1.0915,"0.0035(0.0096)",1.1614
