,m=500,,,m=1000,,,m=2000,,,m=4000,,,m=10000,,,m=20000,,
,train mse,test mse,time,train mse,test mse,time,train mse,test mse,time,train mse,test mse,time,train mse,test mse,time,train mse,test mse,time
RBF GP,0.0608(0.0063),0.0689(0.0014),5.4357,0.0587(0.0057),0.0653(0.0011),9.4396,0.0571(0.0024),0.0626(8e-04),19.3208,0.0589(0.0015),0.0602(6e-04),41.4095,0.0568(0.0016),0.0572(4e-04),119.8988,0.0553(4e-04),0.0554(4e-04),338.7592
SRFLAG,0.0313(0.0037),0.1294(0.0283),30.2395,0.0402(0.0045),0.0664(0.0037),31.9579,0.0439(0.0027),0.0564(0.0014),35.7342,0.0483(0.0016),0.0535(8e-04),39.3562,0.0492(0.0017),0.051(4e-04),58.2475,0.0499(0.0012),0.0506(9e-04),90.3518
SKFLAG,0.0281(0.0027),0.094(0.0112),36.5597,0.0368(0.0034),0.0606(0.0011),38.1903,0.0408(0.0022),0.0517(4e-04),42.2845,0.044(0.0012),0.0488(4e-04),51.9258,0.0459(0.0014),0.0472(3e-04),65.5838,0.046(4e-04),0.0468(2e-04),100.8529
LRFLAG,0.031(0.0023),0.1273(0.0278),4.6344,0.0402(0.0039),0.0669(0.0023),4.9567,0.045(0.0027),0.057(0.0016),5.4484,0.049(0.0011),0.054(7e-04),6.5267,0.0502(0.002),0.0518(0.001),8.5796,0.0507(0.0015),0.0513(0.0011),12.6032
LKFLAG,0.0278(0.0028),0.0921(0.0099),15.676,0.0371(0.0033),0.0604(0.0012),15.3716,0.0416(0.0023),0.0527(7e-04),16.5735,0.0448(0.0011),0.0498(4e-04),16.7401,0.0468(0.0012),0.0482(3e-04),19.9689,0.0471(5e-04),0.0479(3e-04),22.223
