"","error rates","time","error rates","time"
"RBF GP","0.4659(0.0185)",0.2173,"0.4415(0.0173)",0.2344
"RBF KSVM","0.4623(0.0255)",0.0178,"0.445(0.0185)",0.0254
"GLGP","0.4951(0.0301)",9.8522,"0.172(0.0289)",10.1671
"sparseGLGP","0.1423(0.0434)",3.6313,"0.0707(0.021)",3.9669
"Nystrom extension","0.455(0.0886)",4.2971,"0.1536(0.036)",4.4531
"SRFLAG","0.1651(0.0476)",4.3742,"0.1049(0.0244)",4.5223
"SKFLAG","0(0)",6.3095,"0(0)",6.6179
"LRFLAG","0.2686(0.0369)",0.3349,"0.1932(0.0471)",0.3873
"LKFLAG","0.0157(0.0251)",0.5243,"0.0066(0.0119)",0.5944
