"","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time","train mse","test mse","time"
"RBF GP","0.0598(0.0114)","0.0758(0.0021)",2.0845,"0.0596(0.0051)","0.0687(0.0015)",5.6773,"0.0598(0.005)","0.0655(9e-04)",9.7751,"0.059(0.0023)","0.0625(8e-04)",19.7599
"LKFLAG","0.0018(0.0012)","2.4548(2.363)",24.8948,"0.0274(0.0027)","0.0901(0.0138)",26.8509,"0.037(0.0029)","0.0593(0.0013)",31.2421,"0.0422(0.0018)","0.052(6e-04)",47.2439
