"","error rates","time","error rates","time"
"RBF GP","0.46(0.027)",0.093,"0.45(0.024)",0.105
"RBF KSVM","0.464(0.024)",0.011,"0.454(0.022)",0.015
"GLGP","0.484(0.051)",1.392,"0.174(0.033)",1.569
"sparseGLGP","0.042(0.036)",2.082,"0.008(0.017)",2.304
"Nystrom extension","0.468(0.068)",1.594,"0.163(0.029)",1.746
"SRFLAG","0.213(0.059)",1.894,"0.13(0.039)",2.11
"SKFLAG","0.023(0.024)",5.6,"0.005(0.008)",5.946
"LRFLAG","0.286(0.031)",0.122,"0.181(0.045)",0.171
"LKFLAG","0.077(0.042)",0.137,"0.036(0.025)",0.197
